"","X","course","chapter","sequential","vertical","terminal","seq","ver"
"1",0,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@16c746aa710b4b258080317934582264","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@98da1bda5fc54683aafddc351884642b","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@853dfc2250ca4485a6c109658c5a930d",5,1
"2",1,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@16c746aa710b4b258080317934582264","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@98da1bda5fc54683aafddc351884642b","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@3b220bf2e68b43188238eb4eedcf21cd",5,1
"3",2,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","0","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@de776b3078614873aebfd0cc7727b304","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@8e13bf993bcc4a688205792e119e0309","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@abd3b1558556412eaa1f719d755f8521",1,1
"4",3,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@c1a155f3812a4b629a5d1d2dc0780d67","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@3050f0aaf27e4c59ac69a5e6da6de898","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@2f0d9309ba0e41ce948460dc6efaf709",2,3
"5",4,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@c1a155f3812a4b629a5d1d2dc0780d67","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@3050f0aaf27e4c59ac69a5e6da6de898","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@25d512a1e0fd4771ab124737fb96185c",2,3
"6",5,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@5ffa7d0ee931454db1407386884f40e9","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@86f11a67fdbc42e78a2a68f8a933e3a9","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@0d4a063a937f43f98115cfcd5c8324be",13,2
"7",6,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@b548971936904e96b68b56fb3dddb6f5","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@4553bf974be846528d9ca42ed71f80c0","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@38f84a250e4f4056bc19a7c78de8c89d",2,1
"8",7,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@d3a9eb2f78904867b664337786d9e197","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@043d45f232704050ace69d5fd3800f78","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@1e937b6d680e4e238d199db61db658fe",1,1
"9",8,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@f76d84f241a04c3dad308025e0f0f26e","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@6fada640af69450fae8463c6499d9597","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@88b34634e03e497ab06be0b1c06ae74f",13,1
"10",9,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@e65a2d83a51644c39f179b0e03a2d668","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@1d8eb28ebf2040b2bdd82fb26df0d18b","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@4d31304364ed4553847df2651e6c575a",7,1
